;PT. Triputra Textile (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;19/Feb/26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Count Wise Summary of Monthly Production Review Februari-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Date;Month;Unit Pabrik;Yarn Jenis Benang;Count (Ne);Slub Code;Lot Benang;SPK;Warna Cone / Cheese;Berat Cone / Cheese (Kgs);TM;TPI;Speed;Jumlah Spindel / Rotor Terpasang;Aktual Produksi;;;;100% Produksi (Bales);Target Produksi on Target OPR (Bales);Keuntungan atau Kerugian Efisiensi Bales on Target OPS / OPR;Target OPS / OPR;OPS/ OPR Aktual;OPS / OPR Worked;Produksi Effisiensi %;Effisiensi % Kerja;Penghentian (Minutes);;;;;;Spindles / Rotors Bekerja;Spindle / Rotors Effisiensi;Kerugian Produksi (Bales) Karena;;;;;;Harga Benang per Bale;;;
;;;;;;;;;;;;;;;Jumlah Cones / Cheese;Produksi (Kgs);Produksi (Lbs);Aktual Produksi (Bales);;;;;;;;;Power / Electric (min);Count Mengubah (min);Creel Mengubah (min);Preventive Mtc/Rotor/Ring Change Stoppage (min);Creel Short Stoppage (min);Total Penghentian  (min);;;Power Penghentian;Count Mengubah;Creel Mengubah;Preventive MTC./Rotor / Ring Cup Change;Creel (Sliver/Roving) Short;Kerugian Total;;;;
;10;Jan-26;RING;;9,31;;;;;;4,15;13,45;9249;5664;2347;6653,75;14668,85;36,67;50;45;3;16,88;13,81;17,97;73,65%;95,81%; 	-   ; 	191 ; 	-   ; 	-   ;-; 	333 ;4354;76,87%; 	-   ; 	(3,83); 	-   ; 	-   ; 	(7,37); 	(11,20);-;;;
;11;Jan-26;RING;;8,89;;;;;;4,43;13,81;9543;5664;1800;5103,00;11250,07;28,13;52;47;3;17,77;10,59;18,84;53,66%;95,45%; 	-   ; 	83 ; 	-   ; 	159 ;-; 	631 ;3184;56,21%; 	-   ; 	-   ; 	-   ; 	(105,95); 	(13,24); 	(21,69);-;;;
;12;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;13;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;14;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;15;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;16;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;17;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;18;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;19;Jan-26;RING;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
